N°,Site,Longitude,Latitude,Altitude,Ic,Classe_Ic
2979,Tumbwe,27.38320407,-11.4783064,1325.554,0.72,Terne
2980,Tumbwe,27.39854739,-11.47828481,1353.172,0.65,Terne
2981,Tumbwe,27.3925954,-11.47829036,1338.608,1.03,Dur
2982,Tumbwe,27.39257687,-11.47828929,1338.481,0.56,Terne
2983,Tumbwe,27.39814518,-11.47827876,1352.249,1.12,Dur
2984,Tumbwe,27.39273859,-11.47828384,1343.578,3.86,Dur
2985,Tumbwe,27.39256806,-11.47828092,1338.413,1.19,Dur
2986,Tumbwe,27.38789518,-11.47828588,1334.415,0.76,Mi-dur
2987,Tumbwe,27.39810836,-11.47826806,1352.256,1.19,Dur
2988,Tumbwe,27.39855358,-11.47826236,1352.897,1.78,Dur
2989,Tumbwe,27.39142787,-11.47826816,1337.697,1.77,Dur
2990,Tumbwe,27.3900766,-11.47826802,1338.481,45.19,Dur
2991,Tumbwe,27.39806983,-11.47825448,1352.409,-0.79,Liquide
2992,Tumbwe,27.39261293,-11.47826055,1338.572,1.38,Dur
2993,Tumbwe,27.39804144,-11.4782451,1352.147,3.22,Dur
2994,Tumbwe,27.39260126,-11.47824813,1338.527,1.35,Dur
2995,Tumbwe,27.39801313,-11.4782361,1352.08,1.66,Dur
2996,Tumbwe,27.39502899,-11.4782391,1342.7,1.03,Dur
2997,Tumbwe,27.39447166,-11.47823822,1343.595,2.03,Dur
2998,Tumbwe,27.39260109,-11.47823743,1338.534,0.77,Mi-dur
2999,Tumbwe,27.383139,-11.47824971,1324.919,1.05,Dur
3000,Tumbwe,27.39797212,-11.47822282,1352.005,0.67,Terne
3001,Tumbwe,27.38459488,-11.47824031,1327.907,1.03,Dur
3002,Tumbwe,27.38189941,-11.47824202,1329.318,27.39,Dur
3003,Tumbwe,27.39147755,-11.47822692,1337.664,1.54,Dur
3004,Tumbwe,27.39264878,-11.47822525,1338.741,1.08,Dur
3005,Tumbwe,27.39136257,-11.47822291,1337.74,1.36,Dur
3006,Tumbwe,27.39263824,-11.47822043,1338.655,1.19,Dur
3007,Tumbwe,27.39265602,-11.47822038,1338.672,1.47,Dur
3008,Tumbwe,27.38323615,-11.47822955,1325.455,1.96,Dur
3009,Tumbwe,27.39857904,-11.47820883,1352.774,0.72,Terne
3010,Tumbwe,27.39857904,-11.47820883,1352.774,0.65,Terne
3011,Tumbwe,27.39791738,-11.47820327,1352.074,1.03,Dur
3012,Tumbwe,27.38569726,-11.47821332,1330.05,0.56,Terne
3013,Tumbwe,27.39267273,-11.47819866,1338.713,1.12,Dur
3014,Tumbwe,27.39785828,-11.47818473,1351.742,3.86,Dur
3015,Tumbwe,27.39266664,-11.47818652,1338.769,1.19,Dur
3016,Tumbwe,27.38540487,-11.47819504,1331.941,0.76,Mi-dur
3017,Tumbwe,27.38246422,-11.47819694,1329.274,1.19,Dur
3018,Tumbwe,27.39781656,-11.47817018,1351.802,1.78,Dur
3019,Tumbwe,27.39267415,-11.4781767,1338.722,1.77,Dur
3020,Tumbwe,27.39138174,-11.47817092,1337.66,45.19,Dur
3021,Tumbwe,27.39273133,-11.47816908,1338.827,-0.79,Liquide
3022,Tumbwe,27.38315916,-11.4781776,1324.971,1.38,Dur
3023,Tumbwe,27.39777268,-11.47815669,1351.729,3.22,Dur
3024,Tumbwe,27.39272071,-11.47816206,1338.76,1.35,Dur
3025,Tumbwe,27.38309452,-11.4781748,1325.343,1.66,Dur
3026,Tumbwe,27.39181099,-11.47816059,1337.907,1.03,Dur
3027,Tumbwe,27.39125731,-11.47815447,1337.668,2.03,Dur
3028,Tumbwe,27.3927131,-11.47815243,1338.787,0.77,Mi-dur
3029,Tumbwe,27.3977313,-11.47814298,1351.688,1.05,Dur
3030,Tumbwe,27.39275797,-11.47814871,1338.754,0.67,Terne
3031,Tumbwe,27.39769429,-11.47813286,1351.66,1.03,Dur
3032,Tumbwe,27.39275118,-11.47812988,1338.993,27.39,Dur
3033,Tumbwe,27.39765596,-11.47812159,1351.831,1.54,Dur
3034,Tumbwe,27.39281669,-11.47812538,1338.978,1.08,Dur
3035,Tumbwe,27.39275164,-11.47812404,1338.925,1.36,Dur
3036,Tumbwe,27.38327984,-11.4781321,1325.534,1.19,Dur
3037,Tumbwe,27.39231236,-11.47811735,1342.708,1.47,Dur
3038,Tumbwe,27.39129594,-11.47811674,1337.63,1.96,Dur
3039,Tumbwe,27.39280508,-11.47811399,1338.919,0.72,Terne
3040,Tumbwe,27.38318029,-11.47812643,1325.096,0.65,Terne
3041,Tumbwe,27.39120186,-11.47811209,1337.699,1.03,Dur
3042,Tumbwe,27.39758881,-11.47809762,1351.556,0.56,Terne
3043,Tumbwe,27.38964898,-11.47810505,1338.148,1.12,Dur
3044,Tumbwe,27.39286158,-11.47809701,1339.123,3.86,Dur
3045,Tumbwe,27.39286158,-11.47809701,1339.123,1.19,Dur
3046,Tumbwe,27.38416805,-11.47810206,1326.952,0.76,Mi-dur
3047,Tumbwe,27.39754579,-11.47808173,1351.313,1.19,Dur
3048,Tumbwe,27.39750299,-11.47807132,1351.234,1.78,Dur
